iteration,series,model,train_size,n_train,r2,rmse,pearson,spearman,fit_seconds
iteration_3,95,rf,250,250,0.4942311471602016,16.84665150068119,0.7090933795476524,0.7056198562275154,0.129
iteration_3,95,mlp,250,250,0.3056272999693302,19.739396496758022,0.5657127471465542,0.559435679342277,1.418
iteration_3,95,cnn,250,250,0.4931234107403148,16.865090202758843,0.7119676215695674,0.7108518292561762,0.938
iteration_3,95,rf,500,500,0.6071032095095258,14.848302007208366,0.7824684166613777,0.7769776136645806,0.157
iteration_3,95,mlp,500,500,0.3768225300269063,18.70007823893797,0.6546457178396307,0.6513848213149472,2.721
iteration_3,95,cnn,500,500,0.5736490282072042,15.467537597154502,0.7705526203535092,0.7589539545697265,1.751
iteration_3,95,rf,1000,1000,0.6864237487435272,13.2650574029535,0.8353970531226382,0.8416810241991671,0.262
iteration_3,95,mlp,1000,1000,0.5031157922684466,16.698026606109924,0.7312555128909746,0.7328748619068336,5.806
iteration_3,95,cnn,1000,1000,0.6578987933157157,13.855265577924284,0.8134885898417461,0.8103934001084875,3.743
iteration_3,95,rf,2000,2000,0.7682722922958136,11.40319456589092,0.8848135590690673,0.8901080219438885,0.496
iteration_3,95,mlp,2000,2000,0.6640530774874055,13.730074231275603,0.8215448548133528,0.8211163212699203,20.05
iteration_3,95,cnn,2000,2000,0.7430375413517385,12.008047335791046,0.8630205249034593,0.8621724290572121,7.394
iteration_3,99,rf,250,250,0.3900880546202884,18.236952484151864,0.6247791266193286,0.5761583250901822,0.132
iteration_3,99,mlp,250,250,0.2187120377566122,20.640692476787077,0.497529764150374,0.4825319164774631,0.974
iteration_3,99,cnn,250,250,0.3179223620597983,19.28570869520586,0.6214916560707417,0.5849350504336176,0.921
iteration_3,99,rf,500,500,0.5039336148407247,16.4470721064463,0.7104343277410412,0.6849251577144071,0.162
iteration_3,99,mlp,500,500,0.2704012048234252,19.946226712260543,0.5211944002929918,0.5081702460267242,1.36
iteration_3,99,cnn,500,500,0.5035741892646699,16.45302940181522,0.7332987951144136,0.7124213719432763,2.189
iteration_3,99,rf,1000,1000,0.5854812070658322,15.03456300275269,0.7654210735082664,0.7372012232294183,0.31
iteration_3,99,mlp,1000,1000,0.4060091761106444,17.997350095364496,0.6708101830859925,0.6620378159079913,8.631
iteration_3,99,cnn,1000,1000,0.6091840996817194,14.598384873260995,0.7884611846740297,0.7714361484348831,4.805
iteration_3,99,rf,2000,2000,0.6896337007274069,13.009361318727922,0.8308949272845947,0.8186298078153353,0.577
iteration_3,99,mlp,2000,2000,0.5808352588345134,15.118582318308428,0.7843918023311933,0.7670193918189603,9.453
iteration_3,99,cnn,2000,2000,0.6616145361299957,13.583902203892388,0.8276881666008586,0.816430193173782,7.071
iteration_3,102,rf,250,250,0.4033432564576128,21.9239739732991,0.6381935228433406,0.6498823734780712,0.14
iteration_3,102,mlp,250,250,0.2834599297382961,24.025765953203532,0.571967533322401,0.5647479046744042,1.51
iteration_3,102,cnn,250,250,0.4261027963604463,21.50176224753105,0.672390633442979,0.6791830573941087,1.071
iteration_3,102,rf,500,500,0.4891212490871637,20.28691085262715,0.6994145984636675,0.7054724092025574,0.166
iteration_3,102,mlp,500,500,0.315069452005619,23.489851390959483,0.589465604202219,0.5884827405171281,1.599
iteration_3,102,cnn,500,500,0.5546374005985564,18.941478381315477,0.7616763727811957,0.7601226257664109,2.255
iteration_3,102,rf,1000,1000,0.6701402139715369,16.30127926382495,0.8223947306360859,0.8220047625297657,0.281
iteration_3,102,mlp,1000,1000,0.4794250736801878,20.47852271846532,0.6972312190644301,0.7078962368514802,2.568
iteration_3,102,cnn,1000,1000,0.6805139142624346,16.042903654220982,0.8294943936716066,0.8319820748879679,3.688
iteration_3,102,rf,2000,2000,0.798164118420845,12.7513506633445,0.8973492362561202,0.8940733173679213,0.514
iteration_3,102,mlp,2000,2000,0.7173726627915777,15.089125979738808,0.8521452200489252,0.8529687060544128,23.991
iteration_3,102,cnn,2000,2000,0.7694412235058866,13.628492844927424,0.8808906057354067,0.8809688185551159,7.335
iteration_3,117,rf,250,250,0.3622124312122858,17.399536267351873,0.6040130315071937,0.5983633257196482,0.278
iteration_3,117,mlp,250,250,0.087983891662815,20.806589700138638,0.4207127761409366,0.4133623454891977,0.559
iteration_3,117,cnn,250,250,0.4488089576374919,16.175239659852227,0.6867749119137869,0.6758358212768608,0.866
iteration_3,117,rf,500,500,0.4526660151654718,16.11854574350709,0.6740342455438826,0.6832123660413688,0.149
iteration_3,117,mlp,500,500,0.3899268784274631,17.017297614151552,0.6259260392141905,0.6324358881989199,1.441
iteration_3,117,cnn,500,500,0.5243041243061871,15.026725104966951,0.7452894086703319,0.7213650029833962,1.817
iteration_3,117,rf,1000,1000,0.6104144722706002,13.598814707066635,0.7854715872319094,0.7845691158860817,0.272
iteration_3,117,mlp,1000,1000,0.4748753237679038,15.788136115599796,0.733253965967595,0.7215636496067446,8.03
iteration_3,117,cnn,1000,1000,0.6487275655866283,12.912837443175276,0.8070612512267625,0.7796202201888556,3.299
iteration_3,117,rf,2000,2000,0.7272286188702441,11.378867750300229,0.8555800771139718,0.8471722182569599,0.57
iteration_3,117,mlp,2000,2000,0.6558963091542507,12.780396099502411,0.8173035649051887,0.7871699420219679,12.721
iteration_3,117,cnn,2000,2000,0.7519190138747835,10.8516652520548,0.8708684298965725,0.8472782085393566,7.559
iteration_3,133,rf,250,250,0.539230641079371,17.869277089949144,0.7437837972794543,0.7372952800354778,0.146
iteration_3,133,mlp,250,250,0.3647566714052542,20.98143771901846,0.6192069788773332,0.623587149646702,1.396
iteration_3,133,cnn,250,250,0.5739560131762149,17.182739574068812,0.7647000081106983,0.7624972072048795,1.181
iteration_3,133,rf,500,500,0.6299239745088854,16.014399688740227,0.7995838174834011,0.7937814823541514,0.175
iteration_3,133,mlp,500,500,0.4268395967517353,19.929815471102497,0.6661735769825705,0.6799102657829023,2.203
iteration_3,133,cnn,500,500,0.6731614334107199,15.049838391810486,0.8271971439120885,0.824726154089336,1.986
iteration_3,133,rf,1000,1000,0.7151240315135233,14.050542571956363,0.8472691273987121,0.8445146464055396,0.288
iteration_3,133,mlp,1000,1000,0.6185786852713258,16.258020515287726,0.8016387621091543,0.808051153367389,7.648
iteration_3,133,cnn,1000,1000,0.7509457246079496,13.137483650581752,0.8687253424213927,0.86479436668526,3.668
iteration_3,133,rf,2000,2000,0.7855711438136905,12.190086920106213,0.8881738700458575,0.8881042041715042,0.493
iteration_3,133,mlp,2000,2000,0.7220015081377427,13.879902256161447,0.8589404821045625,0.8610958700069763,9.745
iteration_3,133,cnn,2000,2000,0.8001806857500591,11.767492222478396,0.9006718218481821,0.9020299630819084,7.972
iteration_3,136,rf,250,250,0.4837510822870241,18.43567658361514,0.7000076767666028,0.7231482012314665,0.155
iteration_3,136,mlp,250,250,0.4192617287624471,19.553284861277675,0.6484952440660409,0.6639242088297881,1.158
iteration_3,136,cnn,250,250,0.6259602465104601,15.692364404559722,0.7962220741071373,0.7958327672434656,0.89
iteration_3,136,rf,500,500,0.5496064985014564,17.219699226903447,0.7430498710218675,0.7581226036446417,0.16
iteration_3,136,mlp,500,500,0.4946033479502287,18.24087570105977,0.7040057966194685,0.7088861167255321,1.481
iteration_3,136,cnn,500,500,0.696006907044171,14.14690254108864,0.8420099008100334,0.841412089435897,1.768
iteration_3,136,rf,1000,1000,0.68450146224428,14.412130269042104,0.828599009060028,0.8290963978331363,0.285
iteration_3,136,mlp,1000,1000,0.5955184754134173,16.31844786193519,0.7863455733519767,0.7898383152252748,3.101
iteration_3,136,cnn,1000,1000,0.7785294320515659,12.075010395164202,0.8838472625266295,0.882688716615874,3.661
iteration_3,136,rf,2000,2000,0.7737579150941958,12.20439346747206,0.882706658921792,0.8820996345428413,0.843
iteration_3,136,mlp,2000,2000,0.7661798238327905,12.407106076293434,0.8791686383638865,0.8782331416851762,13.97
iteration_3,136,cnn,2000,2000,0.8598097097755553,9.607015049430323,0.9273411714817434,0.924719475332858,6.999
iteration_3,141,rf,250,250,0.4484619015291515,20.314957577474924,0.6754780226499268,0.6694509308193367,0.123
iteration_3,141,mlp,250,250,0.3055618359272776,22.79528105084872,0.5565807547022488,0.5854903683718743,1.098
iteration_3,141,cnn,250,250,0.4637029989038459,20.03230137218261,0.7083665626386944,0.717717114199428,0.867
iteration_3,141,rf,500,500,0.5757260945805054,17.81768685108296,0.7600531084007272,0.7636181841657911,0.156
iteration_3,141,mlp,500,500,0.3549246224714982,21.970168797383643,0.6187789680025712,0.6309502160306061,2.013
iteration_3,141,cnn,500,500,0.6210643838492138,16.83878974717306,0.7978697991763122,0.8006467110620544,1.857
iteration_3,141,rf,1000,1000,0.6675110223680859,15.773090214784752,0.8181885934028326,0.8221718048654374,0.28
iteration_3,141,mlp,1000,1000,0.5842618475499592,17.637543662107493,0.769625325390566,0.7793562831929842,5.715
iteration_3,141,cnn,1000,1000,0.7414995719190165,13.907811452099208,0.8613525915831508,0.8648397708739152,3.649
iteration_3,141,rf,2000,2000,0.7342090862860524,14.102568766140724,0.8570793997501832,0.8576817149084767,0.533
iteration_3,141,mlp,2000,2000,0.6536282179930593,16.099019002325026,0.8133086830264054,0.8178946175541111,11.856
iteration_3,141,cnn,2000,2000,0.7978021558581572,12.30032032271269,0.8943213960158505,0.8950791607330327,7.279
iteration_3,145,rf,250,250,0.4037087377526897,15.476805706494126,0.6595189128831636,0.6690065645045332,0.114
iteration_3,145,mlp,250,250,0.1442968285392293,18.54016857569123,0.4714676733062074,0.4198654915469855,1.606
iteration_3,145,cnn,250,250,0.2364432743195349,17.513492523214914,0.5490111489043319,0.5376065377123191,1.464
iteration_3,145,rf,500,500,0.5120786311721479,13.999967490412777,0.7200143899730187,0.7203291810198753,0.157
iteration_3,145,mlp,500,500,0.3219755332549601,16.503451861545138,0.5811906389329742,0.5475878531019737,1.532
iteration_3,145,cnn,500,500,0.4230035866827087,15.224346669592368,0.6741560250953065,0.6570494217450147,1.865
iteration_3,145,rf,1000,1000,0.579476602877949,12.9971218308048,0.7618783479605866,0.7600586430633319,0.272
iteration_3,145,mlp,1000,1000,0.4466953190550492,14.908511340214629,0.672884133527719,0.6319823144372751,2.371
iteration_3,145,cnn,1000,1000,0.4951036050802124,14.241418298187533,0.7210180966422651,0.7048929135028718,3.632
iteration_3,145,rf,2000,2000,0.6478033591432324,11.89445951825562,0.8050861798055654,0.8032503099662055,0.538
iteration_3,145,mlp,2000,2000,0.583226012867953,12.939050568889847,0.7685944114177353,0.7418556013212317,5.384
iteration_3,145,cnn,2000,2000,0.6447425874396577,11.946032227220822,0.808278911205747,0.7912056154081489,7.233
iteration_3,156,rf,250,250,0.3701347864058433,19.892483487203208,0.6205453070961606,0.6133265750462571,0.139
iteration_3,156,mlp,250,250,0.0811431363413861,24.02642341232296,0.4582957853543061,0.4392600431761705,1.628
iteration_3,156,cnn,250,250,0.3172513386392799,20.71074030661851,0.5953152567900389,0.5848043678032651,1.095
iteration_3,156,rf,500,500,0.4540574174954532,18.519901789129992,0.676801335725675,0.672116787758635,0.164
iteration_3,156,mlp,500,500,0.2131708580777167,22.233376003322636,0.4643600241867457,0.4655023753675724,1.361
iteration_3,156,cnn,500,500,0.5258461424661554,17.259366001651554,0.7370052781803799,0.7334713043081532,2.28
iteration_3,156,rf,1000,1000,0.5833086678812356,16.179773127376944,0.7656073324029997,0.760139106443405,0.305
iteration_3,156,mlp,1000,1000,0.4012861252411033,19.394333339408657,0.6458089496715839,0.6402417877881662,2.892
iteration_3,156,cnn,1000,1000,0.6016181429526177,15.820309307517435,0.7879308986907676,0.7855496700133388,3.736
iteration_3,156,rf,2000,2000,0.715305719625233,13.373792031410831,0.8481513323840904,0.8469510508335392,0.551
iteration_3,156,mlp,2000,2000,0.5830033434345165,16.18569978733605,0.7763527096724467,0.7783280038743261,9.391
iteration_3,156,cnn,2000,2000,0.7527239456237478,12.463965137354622,0.8687757117818007,0.8662258521251609,7.136
iteration_3,158,rf,250,250,0.4728219510275121,19.45216119603862,0.6920769473424837,0.6971660012117691,0.12
iteration_3,158,mlp,250,250,0.4221118704226215,20.36625079270107,0.6549959034090507,0.6649708991817385,0.767
iteration_3,158,cnn,250,250,0.557294636629556,17.825699962441487,0.7633029453887752,0.7691633079339989,0.959
iteration_3,158,rf,500,500,0.562425113539132,17.722108657212004,0.751081387311147,0.748482875588914,0.399
iteration_3,158,mlp,500,500,0.4705023763597488,19.49490881868361,0.7079133360206153,0.7224249177611682,1.77
iteration_3,158,cnn,500,500,0.6076363830745763,16.781607730046478,0.7846412344897951,0.7935997932682812,1.801
iteration_3,158,rf,1000,1000,0.6552448683268016,15.730574006373356,0.8095024419465293,0.8090637826492495,0.297
iteration_3,158,mlp,1000,1000,0.5714049664162035,17.53932064485455,0.7592852002484121,0.7703500248719809,2.389
iteration_3,158,cnn,1000,1000,0.6617041036704198,15.582515422475982,0.8238605643382735,0.8320960259224552,3.685
